date	number_of_smells
1848/01/01	5
1849/01/01	11
1850/01/01	6
1852/01/01	2
1854/01/01	1
1855/01/01	2
1856/01/01	21
1856/01/01	5
1856/01/01	3
1856/01/01	7
1856/01/01	10
1856/01/01	1
1856/01/01	43
1856/01/01	1
1856/01/01	8
1857/01/01	4
1857/01/01	10
1857/01/01	2
1857/01/01	16
1857/01/01	3
1857/01/01	68
1857/01/01	6
1857/01/01	1
1858/01/01	3
1858/01/01	100
1858/01/01	6
1858/01/01	5
1858/01/01	59
1858/01/01	23
1858/01/01	6
1859/01/01	95
1859/01/01	7
1859/01/01	60
1859/01/01	4
1859/01/01	3
1860/01/01	6
1860/01/01	18
1860/01/01	2
1860/01/01	1
1860/01/01	4
1860/01/01	3
1860/01/01	20
1860/01/01	6
1860/01/01	1
1861/01/01	10
1861/01/01	1
1861/01/01	10
1861/01/01	5
1861/01/01	4
1861/01/01	1
1862/01/01	4
1862/01/01	1
1862/01/01	4
1862/01/01	2
1862/01/01	5
1862/01/01	1
1863/01/01	3
1863/01/01	2
1863/01/01	4
1863/01/01	2
1863/01/01	1
1863/01/01	3
1864/01/01	2
1864/01/01	7
1864/01/01	2
1864/01/01	5
1864/01/01	8
1864/01/01	3
1864/01/01	3
1864/01/01	1
1865/01/01	1
1865/01/01	5
1865/01/01	18
1865/01/01	1
1865/01/01	1
1865/01/01	2
1865/01/01	6
1866/01/01	29
1866/01/01	3
1866/01/01	3
1867/01/01	2
1867/01/01	2
1867/01/01	1
1867/01/01	1
1867/01/01	3
1868/01/01	5
1868/01/01	2
1868/01/01	8
1868/01/01	4
1869/01/01	1
1869/01/01	7
1869/01/01	2
1869/01/01	1
1869/01/01	1
1869/01/01	1
1869/01/01	1
1869/01/01	15
1870/01/01	2
1870/01/01	16
1870/01/01	4
1870/01/01	2
1870/01/01	13
1871/01/01	16
1871/01/01	2
1871/01/01	2
1871/01/01	9
1871/01/01	3
1872/01/01	1
1872/01/01	8
1872/01/01	2
1872/01/01	1
1872/01/01	1
1872/01/01	1
1872/01/01	8
1872/01/01	1
1873/01/01	18
1873/01/01	2
1873/01/01	1
1873/01/01	10
1874/01/01	11
1874/01/01	5
1874/01/01	13
1874/01/01	2
1874/01/01	2
1874/01/01	7
1875/01/01	1
1875/01/01	17
1875/01/01	3
1875/01/01	8
1875/01/01	4
1875/01/01	10
1875/01/01	2
1876/01/01	2
1876/01/01	3
1876/01/01	5
1876/01/01	1
1876/01/01	8
1876/01/01	7
1877/01/01	4
1877/01/01	2
1877/01/01	2
1877/01/01	1
1877/01/01	3
1877/01/01	2
1878/01/01	5
1878/01/01	1
1878/01/01	2
1878/01/01	14
1878/01/01	3
1879/01/01	2
1879/01/01	10
1879/01/01	1
1879/01/01	3
1879/01/01	6
1879/01/01	4
1880/01/01	4
1880/01/01	2
1880/01/01	6
1880/01/01	3
1880/01/01	5
1881/01/01	2
1881/01/01	2
1881/01/01	2
1881/01/01	2
1881/01/01	1
1881/01/01	2
1881/01/01	7
1882/01/01	4
