longitude	latitude	date	location_name	number_of_smells
-0.2	51.65	1894/01/01	Barnet	8
-0.2	51.65	1895/01/01	Barnet	7
-0.2	51.65	1896/01/01	Barnet	1
-0.2	51.65	1897/01/01	Barnet	3
-0.2	51.65	1904/01/01	Barnet	2
-0.2	51.65	1905/01/01	Barnet	1
-0.2	51.65	1907/01/01	Barnet	1
-0.2	51.65	1908/01/01	Barnet	3
-0.2	51.65	1910/01/01	Barnet	1
-0.2	51.65	1911/01/01	Barnet	7
-0.2	51.65	1913/01/01	Barnet	1
-0.2	51.65	1914/01/01	Barnet	2
-0.2	51.65	1915/01/01	Barnet	1
-0.2	51.65	1925/01/01	Barnet	2
-0.2	51.65	1928/01/01	Barnet	1
-0.2	51.65	1934/01/01	Barnet	1
-0.2	51.65	1935/01/01	Barnet	1
-0.2	51.65	1936/01/01	Barnet	1
-0.2	51.65	1937/01/01	Barnet	4
-0.2	51.65	1938/01/01	Barnet	2
-0.2	51.65	1942/01/01	Barnet	1
-0.2	51.65	1943/01/01	Barnet	1
-0.2	51.65	1944/01/01	Barnet	1
-0.2	51.65	1945/01/01	Barnet	2
-0.2	51.65	1946/01/01	Barnet	1
-0.2	51.65	1947/01/01	Barnet	3
-0.2	51.65	1948/01/01	Barnet	1
-0.2	51.65	1949/01/01	Barnet	1
-0.2	51.65	1950/01/01	Barnet	1
-0.2	51.65	1951/01/01	Barnet	1
-0.2	51.65	1953/01/01	Barnet	2
-0.2	51.65	1954/01/01	Barnet	1
-0.2	51.65	1955/01/01	Barnet	3
-0.2	51.65	1956/01/01	Barnet	2
-0.2	51.65	1957/01/01	Barnet	1
-0.2	51.65	1958/01/01	Barnet	1
-0.2	51.65	1959/01/01	Barnet	5
-0.2	51.65	1960/01/01	Barnet	5
-0.2	51.65	1961/01/01	Barnet	3
-0.2	51.65	1962/01/01	Barnet	3
-0.2	51.65	1963/01/01	Barnet	1
-0.2	51.65	1964/01/01	Barnet	1
