longitude	latitude	date	location_name	number_of_smells
-0.09183999999999999	51.51279	1848/01/01	City of London	5
-0.09183999999999999	51.51279	1849/01/01	City of London	11
-0.09183999999999999	51.51279	1850/01/01	City of London	6
-0.09183999999999999	51.51279	1852/01/01	City of London	2
-0.09183999999999999	51.51279	1854/01/01	City of London	1
-0.09183999999999999	51.51279	1856/01/01	City of London	1
-0.09183999999999999	51.51279	1861/01/01	City of London	5
-0.09183999999999999	51.51279	1864/01/01	City of London	3
-0.09183999999999999	51.51279	1865/01/01	City of London	2
-0.09183999999999999	51.51279	1869/01/01	City of London	1
-0.09183999999999999	51.51279	1891/01/01	City of London	11
-0.09183999999999999	51.51279	1893/01/01	City of London	1
-0.09183999999999999	51.51279	1894/01/01	City of London	1
-0.09183999999999999	51.51279	1899/01/01	City of London	3
-0.09183999999999999	51.51279	1901/01/01	City of London	16
-0.09183999999999999	51.51279	1902/01/01	City of London	5
-0.09183999999999999	51.51279	1903/01/01	City of London	5
-0.09183999999999999	51.51279	1904/01/01	City of London	7
-0.09183999999999999	51.51279	1905/01/01	City of London	4
-0.09183999999999999	51.51279	1906/01/01	City of London	27
-0.09183999999999999	51.51279	1907/01/01	City of London	1
-0.09183999999999999	51.51279	1908/01/01	City of London	6
-0.09183999999999999	51.51279	1910/01/01	City of London	13
-0.09183999999999999	51.51279	1911/01/01	City of London	2
-0.09183999999999999	51.51279	1912/01/01	City of London	5
-0.09183999999999999	51.51279	1913/01/01	City of London	4
-0.09183999999999999	51.51279	1914/01/01	City of London	6
-0.09183999999999999	51.51279	1915/01/01	City of London	1
-0.09183999999999999	51.51279	1916/01/01	City of London	1
-0.09183999999999999	51.51279	1917/01/01	City of London	2
-0.09183999999999999	51.51279	1918/01/01	City of London	1
-0.09183999999999999	51.51279	1919/01/01	City of London	3
-0.09183999999999999	51.51279	1920/01/01	City of London	5
-0.09183999999999999	51.51279	1921/01/01	City of London	6
-0.09183999999999999	51.51279	1922/01/01	City of London	5
-0.09183999999999999	51.51279	1923/01/01	City of London	2
-0.09183999999999999	51.51279	1924/01/01	City of London	6
-0.09183999999999999	51.51279	1925/01/01	City of London	5
-0.09183999999999999	51.51279	1926/01/01	City of London	7
-0.09183999999999999	51.51279	1927/01/01	City of London	2
-0.09183999999999999	51.51279	1928/01/01	City of London	4
-0.09183999999999999	51.51279	1929/01/01	City of London	3
-0.09183999999999999	51.51279	1930/01/01	City of London	4
-0.09183999999999999	51.51279	1931/01/01	City of London	6
-0.09183999999999999	51.51279	1932/01/01	City of London	5
-0.09183999999999999	51.51279	1933/01/01	City of London	7
-0.09183999999999999	51.51279	1934/01/01	City of London	7
-0.09183999999999999	51.51279	1935/01/01	City of London	6
-0.09183999999999999	51.51279	1936/01/01	City of London	8
-0.09183999999999999	51.51279	1937/01/01	City of London	5
-0.09183999999999999	51.51279	1938/01/01	City of London	3
-0.09183999999999999	51.51279	1944/01/01	City of London	6
-0.09183999999999999	51.51279	1946/01/01	City of London	3
-0.09183999999999999	51.51279	1947/01/01	City of London	4
-0.09183999999999999	51.51279	1948/01/01	City of London	2
-0.09183999999999999	51.51279	1949/01/01	City of London	2
-0.09183999999999999	51.51279	1950/01/01	City of London	1
-0.09183999999999999	51.51279	1951/01/01	City of London	2
-0.09183999999999999	51.51279	1952/01/01	City of London	3
-0.09183999999999999	51.51279	1953/01/01	City of London	1
-0.09183999999999999	51.51279	1954/01/01	City of London	6
-0.09183999999999999	51.51279	1955/01/01	City of London	5
-0.09183999999999999	51.51279	1956/01/01	City of London	3
-0.09183999999999999	51.51279	1957/01/01	City of London	5
-0.09183999999999999	51.51279	1958/01/01	City of London	3
-0.09183999999999999	51.51279	1959/01/01	City of London	2
-0.09183999999999999	51.51279	1960/01/01	City of London	4
-0.09183999999999999	51.51279	1961/01/01	City of London	1
-0.09183999999999999	51.51279	1962/01/01	City of London	7
-0.09183999999999999	51.51279	1963/01/01	City of London	3
-0.09183999999999999	51.51279	1965/01/01	City of London	3
-0.09183999999999999	51.51279	1966/01/01	City of London	2
-0.09183999999999999	51.51279	1967/01/01	City of London	2
-0.09183999999999999	51.51279	1968/01/01	City of London	9
-0.09183999999999999	51.51279	1969/01/01	City of London	21
-0.09183999999999999	51.51279	1970/01/01	City of London	18
-0.09183999999999999	51.51279	1971/01/01	City of London	2
-0.09183999999999999	51.51279	1972/01/01	City of London	7
-0.09183999999999999	51.51279	1973/01/01	City of London	5
-0.09183999999999999	51.51279	1976/01/01	City of London	4
-0.09183999999999999	51.51279	1978/01/01	City of London	1
