longitude	latitude	date	location_name	number_of_smells
-0.11667000000000001	51.5	1856/01/01	City of Westminster	3
-0.11667000000000001	51.5	1857/01/01	City of Westminster	10
-0.11667000000000001	51.5	1858/01/01	City of Westminster	100
-0.11667000000000001	51.5	1859/01/01	City of Westminster	95
-0.11667000000000001	51.5	1860/01/01	City of Westminster	18
-0.11667000000000001	51.5	1861/01/01	City of Westminster	10
-0.11667000000000001	51.5	1862/01/01	City of Westminster	4
-0.11667000000000001	51.5	1863/01/01	City of Westminster	3
-0.11667000000000001	51.5	1864/01/01	City of Westminster	7
-0.11667000000000001	51.5	1865/01/01	City of Westminster	18
-0.11667000000000001	51.5	1866/01/01	City of Westminster	29
-0.11667000000000001	51.5	1867/01/01	City of Westminster	2
-0.11667000000000001	51.5	1868/01/01	City of Westminster	5
-0.11667000000000001	51.5	1869/01/01	City of Westminster	7
-0.11667000000000001	51.5	1870/01/01	City of Westminster	16
-0.11667000000000001	51.5	1871/01/01	City of Westminster	16
-0.11667000000000001	51.5	1872/01/01	City of Westminster	8
-0.11667000000000001	51.5	1873/01/01	City of Westminster	18
-0.11667000000000001	51.5	1874/01/01	City of Westminster	13
-0.11667000000000001	51.5	1875/01/01	City of Westminster	17
-0.11667000000000001	51.5	1876/01/01	City of Westminster	2
-0.11667000000000001	51.5	1877/01/01	City of Westminster	2
-0.11667000000000001	51.5	1878/01/01	City of Westminster	1
-0.11667000000000001	51.5	1879/01/01	City of Westminster	10
-0.11667000000000001	51.5	1880/01/01	City of Westminster	4
-0.11667000000000001	51.5	1881/01/01	City of Westminster	2
-0.11667000000000001	51.5	1882/01/01	City of Westminster	3
-0.11667000000000001	51.5	1884/01/01	City of Westminster	2
-0.11667000000000001	51.5	1888/01/01	City of Westminster	8
-0.11667000000000001	51.5	1889/01/01	City of Westminster	2
-0.11667000000000001	51.5	1891/01/01	City of Westminster	3
-0.11667000000000001	51.5	1893/01/01	City of Westminster	1
-0.11667000000000001	51.5	1894/01/01	City of Westminster	2
-0.11667000000000001	51.5	1895/01/01	City of Westminster	3
-0.11667000000000001	51.5	1896/01/01	City of Westminster	7
-0.11667000000000001	51.5	1897/01/01	City of Westminster	2
-0.11667000000000001	51.5	1898/01/01	City of Westminster	19
-0.11667000000000001	51.5	1899/01/01	City of Westminster	4
-0.11667000000000001	51.5	1900/01/01	City of Westminster	2
-0.11667000000000001	51.5	1902/01/01	City of Westminster	2
-0.11667000000000001	51.5	1903/01/01	City of Westminster	3
-0.11667000000000001	51.5	1904/01/01	City of Westminster	14
-0.11667000000000001	51.5	1905/01/01	City of Westminster	6
-0.11667000000000001	51.5	1906/01/01	City of Westminster	4
-0.11667000000000001	51.5	1907/01/01	City of Westminster	9
-0.11667000000000001	51.5	1908/01/01	City of Westminster	9
-0.11667000000000001	51.5	1909/01/01	City of Westminster	10
-0.11667000000000001	51.5	1910/01/01	City of Westminster	4
-0.11667000000000001	51.5	1911/01/01	City of Westminster	5
-0.11667000000000001	51.5	1912/01/01	City of Westminster	17
-0.11667000000000001	51.5	1913/01/01	City of Westminster	7
-0.11667000000000001	51.5	1914/01/01	City of Westminster	9
-0.11667000000000001	51.5	1915/01/01	City of Westminster	4
-0.11667000000000001	51.5	1920/01/01	City of Westminster	2
-0.11667000000000001	51.5	1921/01/01	City of Westminster	4
-0.11667000000000001	51.5	1922/01/01	City of Westminster	2
-0.11667000000000001	51.5	1923/01/01	City of Westminster	3
-0.11667000000000001	51.5	1924/01/01	City of Westminster	2
-0.11667000000000001	51.5	1925/01/01	City of Westminster	2
-0.11667000000000001	51.5	1926/01/01	City of Westminster	1
-0.11667000000000001	51.5	1927/01/01	City of Westminster	2
-0.11667000000000001	51.5	1928/01/01	City of Westminster	1
-0.11667000000000001	51.5	1929/01/01	City of Westminster	3
-0.11667000000000001	51.5	1930/01/01	City of Westminster	4
-0.11667000000000001	51.5	1931/01/01	City of Westminster	4
-0.11667000000000001	51.5	1935/01/01	City of Westminster	1
-0.11667000000000001	51.5	1938/01/01	City of Westminster	1
-0.11667000000000001	51.5	1948/01/01	City of Westminster	9
-0.11667000000000001	51.5	1949/01/01	City of Westminster	7
-0.11667000000000001	51.5	1950/01/01	City of Westminster	8
-0.11667000000000001	51.5	1951/01/01	City of Westminster	9
-0.11667000000000001	51.5	1952/01/01	City of Westminster	5
-0.11667000000000001	51.5	1953/01/01	City of Westminster	5
-0.11667000000000001	51.5	1954/01/01	City of Westminster	8
-0.11667000000000001	51.5	1955/01/01	City of Westminster	5
-0.11667000000000001	51.5	1956/01/01	City of Westminster	8
-0.11667000000000001	51.5	1957/01/01	City of Westminster	4
-0.11667000000000001	51.5	1958/01/01	City of Westminster	5
-0.11667000000000001	51.5	1959/01/01	City of Westminster	2
-0.11667000000000001	51.5	1960/01/01	City of Westminster	7
-0.11667000000000001	51.5	1961/01/01	City of Westminster	8
-0.11667000000000001	51.5	1962/01/01	City of Westminster	3
-0.11667000000000001	51.5	1963/01/01	City of Westminster	7
-0.11667000000000001	51.5	1964/01/01	City of Westminster	8
-0.11667000000000001	51.5	1965/01/01	City of Westminster	7
-0.11667000000000001	51.5	1966/01/01	City of Westminster	7
-0.11667000000000001	51.5	1967/01/01	City of Westminster	5
-0.11667000000000001	51.5	1968/01/01	City of Westminster	11
-0.11667000000000001	51.5	1969/01/01	City of Westminster	4
-0.11667000000000001	51.5	1970/01/01	City of Westminster	6
-0.11667000000000001	51.5	1971/01/01	City of Westminster	3
-0.11667000000000001	51.5	1972/01/01	City of Westminster	2
