longitude	latitude	date	location_name	number_of_smells
-0.1481120465323329	51.62028503417969	1894/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1898/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1900/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1902/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1903/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1904/01/01	Enfield	6
-0.1481120465323329	51.62028503417969	1905/01/01	Enfield	7
-0.1481120465323329	51.62028503417969	1906/01/01	Enfield	2
-0.1481120465323329	51.62028503417969	1908/01/01	Enfield	2
-0.1481120465323329	51.62028503417969	1913/01/01	Enfield	2
-0.1481120465323329	51.62028503417969	1914/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1915/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1916/01/01	Enfield	3
-0.1481120465323329	51.62028503417969	1918/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1920/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1921/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1925/01/01	Enfield	2
-0.1481120465323329	51.62028503417969	1933/01/01	Enfield	2
-0.1481120465323329	51.62028503417969	1934/01/01	Enfield	3
-0.1481120465323329	51.62028503417969	1936/01/01	Enfield	2
-0.1481120465323329	51.62028503417969	1937/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1938/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1946/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1951/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1956/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1959/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1960/01/01	Enfield	2
-0.1481120465323329	51.62028503417969	1961/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1962/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1963/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1964/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1967/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1968/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1969/01/01	Enfield	2
-0.1481120465323329	51.62028503417969	1970/01/01	Enfield	1
-0.1481120465323329	51.62028503417969	1971/01/01	Enfield	6
-0.1481120465323329	51.62028503417969	1972/01/01	Enfield	3
