longitude	latitude	date	location_name	number_of_smells
-0.2699004784226417	51.37877655029297	1894/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1895/01/01	Kingston upon Thames	11
-0.2699004784226417	51.37877655029297	1897/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1903/01/01	Kingston upon Thames	4
-0.2699004784226417	51.37877655029297	1904/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1905/01/01	Kingston upon Thames	5
-0.2699004784226417	51.37877655029297	1906/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1908/01/01	Kingston upon Thames	11
-0.2699004784226417	51.37877655029297	1909/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1911/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1913/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1914/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1919/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1925/01/01	Kingston upon Thames	4
-0.2699004784226417	51.37877655029297	1926/01/01	Kingston upon Thames	4
-0.2699004784226417	51.37877655029297	1927/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1928/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1929/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1930/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1931/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1932/01/01	Kingston upon Thames	3
-0.2699004784226417	51.37877655029297	1933/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1934/01/01	Kingston upon Thames	6
-0.2699004784226417	51.37877655029297	1935/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1936/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1937/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1938/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1939/01/01	Kingston upon Thames	4
-0.2699004784226417	51.37877655029297	1942/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1943/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1944/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1945/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1946/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1947/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1948/01/01	Kingston upon Thames	3
-0.2699004784226417	51.37877655029297	1950/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1951/01/01	Kingston upon Thames	4
-0.2699004784226417	51.37877655029297	1952/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1953/01/01	Kingston upon Thames	3
-0.2699004784226417	51.37877655029297	1954/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1955/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1956/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1957/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1958/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1959/01/01	Kingston upon Thames	3
-0.2699004784226417	51.37877655029297	1960/01/01	Kingston upon Thames	3
-0.2699004784226417	51.37877655029297	1961/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1962/01/01	Kingston upon Thames	4
-0.2699004784226417	51.37877655029297	1963/01/01	Kingston upon Thames	3
-0.2699004784226417	51.37877655029297	1964/01/01	Kingston upon Thames	2
-0.2699004784226417	51.37877655029297	1965/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1966/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1967/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1968/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1969/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1970/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1971/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1972/01/01	Kingston upon Thames	1
-0.2699004784226417	51.37877655029297	1973/01/01	Kingston upon Thames	1
