longitude	latitude	date	location_name	number_of_smells
-0.011285774409770966	51.45037460327149	1856/01/01	Lewisham	7
-0.011285774409770966	51.45037460327149	1857/01/01	Lewisham	16
-0.011285774409770966	51.45037460327149	1858/01/01	Lewisham	6
-0.011285774409770966	51.45037460327149	1859/01/01	Lewisham	7
-0.011285774409770966	51.45037460327149	1860/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1861/01/01	Lewisham	10
-0.011285774409770966	51.45037460327149	1862/01/01	Lewisham	4
-0.011285774409770966	51.45037460327149	1863/01/01	Lewisham	4
-0.011285774409770966	51.45037460327149	1864/01/01	Lewisham	5
-0.011285774409770966	51.45037460327149	1867/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1869/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1872/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1875/01/01	Lewisham	8
-0.011285774409770966	51.45037460327149	1881/01/01	Lewisham	2
-0.011285774409770966	51.45037460327149	1883/01/01	Lewisham	2
-0.011285774409770966	51.45037460327149	1884/01/01	Lewisham	2
-0.011285774409770966	51.45037460327149	1885/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1886/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1887/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1889/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1896/01/01	Lewisham	5
-0.011285774409770966	51.45037460327149	1902/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1904/01/01	Lewisham	26
-0.011285774409770966	51.45037460327149	1905/01/01	Lewisham	2
-0.011285774409770966	51.45037460327149	1911/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1913/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1914/01/01	Lewisham	2
-0.011285774409770966	51.45037460327149	1915/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1926/01/01	Lewisham	4
-0.011285774409770966	51.45037460327149	1928/01/01	Lewisham	2
-0.011285774409770966	51.45037460327149	1929/01/01	Lewisham	2
-0.011285774409770966	51.45037460327149	1948/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1950/01/01	Lewisham	3
-0.011285774409770966	51.45037460327149	1952/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1953/01/01	Lewisham	4
-0.011285774409770966	51.45037460327149	1957/01/01	Lewisham	1
-0.011285774409770966	51.45037460327149	1968/01/01	Lewisham	1
