longitude	latitude	date	location_name	number_of_smells
		1892/01/01	London County Council	1
		1893/01/01	London County Council	5
		1894/01/01	London County Council	14
		1895/01/01	London County Council	6
		1896/01/01	London County Council	5
		1897/01/01	London County Council	5
		1898/01/01	London County Council	14
		1899/01/01	London County Council	68
		1900/01/01	London County Council	25
		1901/01/01	London County Council	2
		1902/01/01	London County Council	4
		1903/01/01	London County Council	6
		1904/01/01	London County Council	16
		1905/01/01	London County Council	22
		1906/01/01	London County Council	6
		1907/01/01	London County Council	6
		1908/01/01	London County Council	3
		1910/01/01	London County Council	4
		1911/01/01	London County Council	2
		1912/01/01	London County Council	9
		1913/01/01	London County Council	1
		1914/01/01	London County Council	1
		1915/01/01	London County Council	2
		1916/01/01	London County Council	1
		1918/01/01	London County Council	5
		1922/01/01	London County Council	3
		1923/01/01	London County Council	3
		1924/01/01	London County Council	1
		1926/01/01	London County Council	2
		1927/01/01	London County Council	3
		1928/01/01	London County Council	2
		1930/01/01	London County Council	1
		1933/01/01	London County Council	1
		1934/01/01	London County Council	5
		1935/01/01	London County Council	4
		1952/01/01	London County Council	1
		1953/01/01	London County Council	3
		1956/01/01	London County Council	2
		1957/01/01	London County Council	2
		1960/01/01	London County Council	3
