location_name,smell_category,year,centroid_lat,centroid_lon,no_smells
Barking and Dagenham,Uncategorised,1898,51.54396,0.13317,1
Barking and Dagenham,Uncategorised,1907,51.54396,0.13317,1
Barking and Dagenham,Uncategorised,1908,51.54396,0.13317,3
Barking and Dagenham,Uncategorised,1931,51.54396,0.13317,1
Barking and Dagenham,Uncategorised,1936,51.54396,0.13317,1
Barking and Dagenham,Uncategorised,1937,51.54396,0.13317,1
Barking and Dagenham,Uncategorised,1938,51.54396,0.13317,1
Barking and Dagenham,Uncategorised,1951,51.54396,0.13317,1
Barking and Dagenham,Uncategorised,1957,51.54396,0.13317,2
Barking and Dagenham,Uncategorised,1959,51.54396,0.13317,1
Barking and Dagenham,air_gas,1951,51.54396,0.13317,1
Barking and Dagenham,air_gas,1957,51.54396,0.13317,2
Barking and Dagenham,air_gas,1960,51.54396,0.13317,1
Barking and Dagenham,decomposition,1932,51.54396,0.13317,1
Barking and Dagenham,decomposition,1971,51.54396,0.13317,1
Barking and Dagenham,factory_fuel,1932,51.54396,0.13317,1
Barking and Dagenham,factory_fuel,1957,51.54396,0.13317,3
Barking and Dagenham,food,1896,51.54396,0.13317,1
Barking and Dagenham,food,1898,51.54396,0.13317,2
Barking and Dagenham,food,1943,51.54396,0.13317,1
Barking and Dagenham,food,1948,51.54396,0.13317,1
Barking and Dagenham,food,1949,51.54396,0.13317,1
Barking and Dagenham,food,1950,51.54396,0.13317,1
Barking and Dagenham,food,1951,51.54396,0.13317,1
Barking and Dagenham,food,1953,51.54396,0.13317,1
Barking and Dagenham,food,1954,51.54396,0.13317,2
Barking and Dagenham,food,1956,51.54396,0.13317,1
Barking and Dagenham,food,1957,51.54396,0.13317,1
Barking and Dagenham,food,1959,51.54396,0.13317,1
Barking and Dagenham,food,1966,51.54396,0.13317,1
Barking and Dagenham,food,1968,51.54396,0.13317,2
Barking and Dagenham,habitation,1898,51.54396,0.13317,1
Barking and Dagenham,habitation,1913,51.54396,0.13317,1
Barking and Dagenham,habitation,1957,51.54396,0.13317,1
Barking and Dagenham,no_smell,1907,51.54396,0.13317,1
Barking and Dagenham,school,1947,51.54396,0.13317,1
Barking and Dagenham,sewer,1898,51.54396,0.13317,1
Barking and Dagenham,sewer,1905,51.54396,0.13317,1
Barking and Dagenham,sewer,1930,51.54396,0.13317,1
Barking and Dagenham,sewer,1935,51.54396,0.13317,1
Barking and Dagenham,sewer,1937,51.54396,0.13317,1
Barking and Dagenham,thames_water,1914,51.54396,0.13317,1
Barking and Dagenham,thames_water,1938,51.54396,0.13317,1
Barking and Dagenham,thames_water,1962,51.54396,0.13317,1
Barking and Dagenham,trade,1924,51.54396,0.13317,1
Barking and Dagenham,trade,1931,51.54396,0.13317,1
Barking and Dagenham,waste_rubbish,1932,51.54396,0.13317,1
Barnet,Uncategorised,1895,51.616027,-0.210017,1
Barnet,Uncategorised,1911,51.616027,-0.210017,2
Barnet,Uncategorised,1915,51.616027,-0.210017,1
Barnet,Uncategorised,1945,51.616027,-0.210017,1
Barnet,Uncategorised,1953,51.616027,-0.210017,1
Barnet,Uncategorised,1956,51.616027,-0.210017,1
Barnet,Uncategorised,1959,51.616027,-0.210017,2
Barnet,Uncategorised,1960,51.616027,-0.210017,2
Barnet,Uncategorised,1961,51.616027,-0.210017,2
Barnet,air_gas,1895,51.616027,-0.210017,1
Barnet,air_gas,1897,51.616027,-0.210017,1
Barnet,air_gas,1907,51.616027,-0.210017,1
Barnet,air_gas,1937,51.616027,-0.210017,1
Barnet,air_gas,1953,51.616027,-0.210017,1
Barnet,animal,1911,51.616027,-0.210017,1
Barnet,decomposition,1895,51.616027,-0.210017,1
Barnet,factory_fuel,1938,51.616027,-0.210017,1
Barnet,food,1894,51.616027,-0.210017,2
Barnet,food,1895,51.616027,-0.210017,1
Barnet,food,1905,51.616027,-0.210017,1
Barnet,food,1910,51.616027,-0.210017,1
Barnet,food,1911,51.616027,-0.210017,1
Barnet,food,1955,51.616027,-0.210017,1
Barnet,food,1959,51.616027,-0.210017,2
Barnet,food,1960,51.616027,-0.210017,2
Barnet,food,1961,51.616027,-0.210017,1
Barnet,food,1962,51.616027,-0.210017,1
Barnet,food,1963,51.616027,-0.210017,1
Barnet,food,1964,51.616027,-0.210017,1
Barnet,habitation,1894,51.616027,-0.210017,2
Barnet,habitation,1895,51.616027,-0.210017,1
Barnet,habitation,1904,51.616027,-0.210017,1
Barnet,habitation,1911,51.616027,-0.210017,1
Barnet,habitation,1914,51.616027,-0.210017,1
Barnet,habitation,1925,51.616027,-0.210017,1
Barnet,habitation,1962,51.616027,-0.210017,1
Barnet,no_smell,1895,51.616027,-0.210017,1
Barnet,sewer,1894,51.616027,-0.210017,3
Barnet,sewer,1895,51.616027,-0.210017,2
Barnet,sewer,1897,51.616027,-0.210017,2
Barnet,sewer,1904,51.616027,-0.210017,1
Barnet,sewer,1962,51.616027,-0.210017,1
Barnet,thames_water,1937,51.616027,-0.210017,2
Barnet,thames_water,1942,51.616027,-0.210017,1
Barnet,thames_water,1943,51.616027,-0.210017,1
Barnet,thames_water,1944,51.616027,-0.210017,1
Barnet,thames_water,1945,51.616027,-0.210017,1
Barnet,thames_water,1946,51.616027,-0.210017,1
Barnet,thames_water,1947,51.616027,-0.210017,1
Barnet,thames_water,1948,51.616027,-0.210017,1
Barnet,thames_water,1949,51.616027,-0.210017,1
Barnet,thames_water,1950,51.616027,-0.210017,1
Barnet,thames_water,1951,51.616027,-0.210017,1
Barnet,trade,1911,51.616027,-0.210017,1
Barnet,waste_rubbish,1894,51.616027,-0.210017,1
Barnet,waste_rubbish,1895,51.616027,-0.210017,1
Barnet,waste_rubbish,1896,51.616027,-0.210017,1
Barnet,waste_rubbish,1908,51.616027,-0.210017,1
Barnet,waste_rubbish,1911,51.616027,-0.210017,1
Barnet,waste_rubbish,1913,51.616027,-0.210017,1
Barnet,waste_rubbish,1914,51.616027,-0.210017,1
Barnet,waste_rubbish,1925,51.616027,-0.210017,1
Barnet,waste_rubbish,1928,51.616027,-0.210017,1
Barnet,waste_rubbish,1934,51.616027,-0.210017,1
Barnet,waste_rubbish,1935,51.616027,-0.210017,1
Barnet,waste_rubbish,1936,51.616027,-0.210017,1
Barnet,waste_rubbish,1937,51.616027,-0.210017,1
Barnet,waste_rubbish,1938,51.616027,-0.210017,1
Barnet,waste_rubbish,1947,51.616027,-0.210017,2
Barnet,waste_rubbish,1954,51.616027,-0.210017,1
Barnet,waste_rubbish,1955,51.616027,-0.210017,2
Barnet,waste_rubbish,1956,51.616027,-0.210017,1
Barnet,waste_rubbish,1957,51.616027,-0.210017,1
Barnet,waste_rubbish,1958,51.616027,-0.210017,1
Barnet,waste_rubbish,1959,51.616027,-0.210017,1
Barnet,waste_rubbish,1960,51.616027,-0.210017,1
Bexley,Uncategorised,1949,51.46088,0.142359,2
Bexley,Uncategorised,1954,51.46088,0.142359,1
Bexley,Uncategorised,1963,51.46088,0.142359,1
Bexley,Uncategorised,1965,51.46088,0.142359,1
Bexley,air_gas,1957,51.46088,0.142359,1
Bexley,factory_fuel,1961,51.46088,0.142359,1
Bexley,food,1913,51.46088,0.142359,1
Bexley,food,1949,51.46088,0.142359,4
Bexley,food,1950,51.46088,0.142359,5
Bexley,food,1951,51.46088,0.142359,4
Bexley,food,1952,51.46088,0.142359,4
Bexley,food,1953,51.46088,0.142359,4
Bexley,food,1954,51.46088,0.142359,3
Bexley,food,1955,51.46088,0.142359,3
Bexley,food,1956,51.46088,0.142359,2
Bexley,food,1957,51.46088,0.142359,1
Bexley,food,1958,51.46088,0.142359,2
Bexley,food,1960,51.46088,0.142359,1
Bexley,food,1961,51.46088,0.142359,1
Bexley,food,1962,51.46088,0.142359,3
Bexley,sewer,1913,51.46088,0.142359,1
Bexley,thames_water,1950,51.46088,0.142359,1
Bexley,thames_water,1954,51.46088,0.142359,1
Bexley,thames_water,1957,51.46088,0.142359,1
Bexley,trade,1961,51.46088,0.142359,1
Bexley,waste_rubbish,1944,51.46088,0.142359,1
Bexley,waste_rubbish,1971,51.46088,0.142359,1
Brent,Uncategorised,1924,51.558556,-0.267821,2
Brent,Uncategorised,1937,51.558556,-0.267821,1
Brent,Uncategorised,1938,51.558556,-0.267821,2
Brent,Uncategorised,1946,51.558556,-0.267821,1
Brent,Uncategorised,1956,51.558556,-0.267821,3
Brent,Uncategorised,1957,51.558556,-0.267821,4
Brent,Uncategorised,1959,51.558556,-0.267821,5
Brent,Uncategorised,1960,51.558556,-0.267821,1
Brent,air_gas,1893,51.558556,-0.267821,1
Brent,air_gas,1895,51.558556,-0.267821,1
Brent,air_gas,1896,51.558556,-0.267821,1
Brent,air_gas,1898,51.558556,-0.267821,3
Brent,air_gas,1938,51.558556,-0.267821,2
Brent,air_gas,1949,51.558556,-0.267821,1
Brent,air_gas,1952,51.558556,-0.267821,1
Brent,air_gas,1957,51.558556,-0.267821,2
Brent,air_gas,1959,51.558556,-0.267821,1
Brent,factory_fuel,1919,51.558556,-0.267821,1
Brent,factory_fuel,1938,51.558556,-0.267821,1
Brent,food,1898,51.558556,-0.267821,1
Brent,food,1902,51.558556,-0.267821,1
Brent,food,1914,51.558556,-0.267821,2
Brent,food,1920,51.558556,-0.267821,1
Brent,food,1933,51.558556,-0.267821,1
Brent,food,1935,51.558556,-0.267821,1
Brent,food,1939,51.558556,-0.267821,1
Brent,food,1945,51.558556,-0.267821,3
Brent,food,1946,51.558556,-0.267821,1
Brent,food,1947,51.558556,-0.267821,1
Brent,food,1948,51.558556,-0.267821,1
Brent,food,1954,51.558556,-0.267821,1
Brent,food,1955,51.558556,-0.267821,1
Brent,food,1956,51.558556,-0.267821,2
Brent,food,1957,51.558556,-0.267821,3
Brent,food,1960,51.558556,-0.267821,3
Brent,food,1961,51.558556,-0.267821,3
Brent,food,1962,51.558556,-0.267821,2
Brent,food,1963,51.558556,-0.267821,2
Brent,food,1964,51.558556,-0.267821,2
Brent,food,1972,51.558556,-0.267821,2
Brent,habitation,1893,51.558556,-0.267821,1
Brent,habitation,1897,51.558556,-0.267821,1
Brent,habitation,1904,51.558556,-0.267821,1
Brent,habitation,1913,51.558556,-0.267821,1
Brent,habitation,1959,51.558556,-0.267821,1
Brent,habitation,1962,51.558556,-0.267821,1
