"centroid_lon","centroid_lat","feature_type","name","source"
"-0.16667","51.4","Populated Place","Mitcham","http://unlock.edina.ac.uk"
"-0.11667","51.58333","Populated Place","Hornsey","http://unlock.edina.ac.uk"
"0.10231","51.42897","Populated Place","Sidcup","http://unlock.edina.ac.uk"
"-0.1914","51.41714","Populated Place","Wimbledon","http://unlock.edina.ac.uk"
"0.08333","51.48333","Populated Place","Plumstead","http://unlock.edina.ac.uk"
"-0.15192","51.61058","Populated Place","Friern Barnet","http://unlock.edina.ac.uk"
"0.2","51.48333","Populated Place","Erith","http://unlock.edina.ac.uk"
"-0.10867001116275787","51.4566535949707","London Borough","Lambeth","http://unlock.edina.ac.uk"
"-0.012551845982670784","51.59951210021973","London Borough","Waltham Forest","http://unlock.edina.ac.uk"
"-0.20785000175237656","51.49690818786621","London Borough","Fulham","http://unlock.edina.ac.uk"
"-0.07695","51.52509","Populated Place","Shoreditch","http://unlock.edina.ac.uk"
"-0.16372","51.47318","Section of Populated Place","Battersea","http://unlock.edina.ac.uk"
"0.07278","51.55765","Populated Place","Ilford","http://unlock.edina.ac.uk"
"0.15247684717178345","51.451847076416016","London Borough","Bexley","http://unlock.edina.ac.uk"
"-0.05","51.51667","Populated Place","Bethnal Green","http://unlock.edina.ac.uk"
"-0.19518","51.60096","Populated Place","Finchley","http://unlock.edina.ac.uk"
"0.04637220874428749","51.360843658447266","London Borough","Bromley","http://unlock.edina.ac.uk"
"-0.11435","51.52839","Populated Place","Finsbury","http://unlock.edina.ac.uk"
"-0.03333","51.51667","Populated Place","Stepney","http://unlock.edina.ac.uk"
"-0.09381","51.4739","Populated Place","Camberwell","http://unlock.edina.ac.uk"
"-0.17955715209245682","51.49734878540039","London Borough (Royal)","Kensington and Chelsea","http://unlock.edina.ac.uk"
"0.044253474567085505","51.52729415893555","London Borough","Newham","http://unlock.edina.ac.uk"
"-0.11667","51.5","Populated Place","City of Westminster","http://unlock.edina.ac.uk"
"-0.28333","51.55","Populated Place","Wembley","http://unlock.edina.ac.uk"
"-0.05","51.51667","Section of Populated Place","Whitechapel","http://unlock.edina.ac.uk"
"-0.03333","51.48333","Populated Place","Deptford","http://unlock.edina.ac.uk"
"-0.26667","51.48333","Section of Populated Place","Chiswick","http://unlock.edina.ac.uk"
"0.047328222543001175","51.462697982788086","London Borough","Greenwich","http://unlock.edina.ac.uk"
"0.05","51.53333","Populated Place","East Ham","http://unlock.edina.ac.uk"
