Id,MoHPlace,GazetteerPlace,MatchType,MarcSource,NormalisedPlace,SecondaryNormalisedPlace,NormalisedMoHPlace
1,Erith,83439,exact,0,Bexley,NULL,Erith
2,Paddington,181320,Dup exact,0,City of Westminster,NULL,Paddington
3,Wood Green,254618,Dup exact,0,Haringey,NULL,Wood Green
4,"St. Margaret & St. John, Westminster (London, England)",248192,NULL,0,City of Westminster,NULL,Westminster
5,"Southwark, Borough of",217788,NULL,0,Southwark,NULL,Southwark
6,"Southwark, The Vestry of the Parish of St. George the Martyr",217788,NULL,0,Southwark,NULL,St George (Southwark)
7,Ealing,78352,exact,0,Ealing,NULL,Ealing
8,Finsbury Borough,87737,Bor,0,Islington,NULL,Finsbury (Metropolitan Borough)
9,"Hanover Square, The Vestry of the Parish of Saint George",157732,NULL,0,City of Westminster,NULL,St George (Hanover Square)
10,Fulham Borough,91949,Bor,0,Hammersmith and Fulham,NULL,Fulham (Metropolitan Borough)
11,Fulham,91949,exact,0,Hammersmith and Fulham,NULL,Fulham
12,"Kensington (London, England)",128157,Dup Lon,0,Kensington and Chelsea,NULL,Kensington
13,St. Giles District,205812,NULL,0,Camden,NULL,St Giles (Camden)
14,"Holborn (London, England)",119505,Dup Lon,0,Camden,NULL,Holborn
15,Deptford Borough,72085,Dup Bor,0,Lewisham,NULL,Deptford (Metropolitan Borough)
16,"Hampstead, Metropolitan Borough of",108106,Dup Met,0,Camden,NULL,Hampstead (Metropolitan Borough)
17,"Bethnal Green, Parish of St. Matthew",21189,NULL,0,Tower Hamlets,NULL,Bethnal Green
18,"Paddington, Borough of",181320,NULL,0,City of Westminster,NULL,Paddington (Metropolitan Borough)
19,"Clerkenwell, St James & St John",52197,NULL,0,Islington,NULL,Clerkenwell
20,St. Martin-in-the-Fields,223190,NULL,0,City of Westminster,NULL,St Martin-in-the-Fields
21,Chingford,49845,exact,0,Waltham Forest,NULL,Chingford
22,Kensington Parish,128157,NULL,0,Kensington and Chelsea,NULL,Kensington
23,City of Westminster,248192,NULL,0,City of Westminster,NULL,Westminster
24,Westminster,248192,exact,0,City of Westminster,NULL,Westminster
25,Southgate,217654,Dup exact,0,Enfield,NULL,Southgate
26,"Lambeth (London, England)",133571,Lon,0,Lambeth,NULL,Lambeth
27,Lewisham,137348,exact,0,Lewisham,NULL,Lewisham
28,"Southwark (London, England)",217788,NULL,0,Southwark,NULL,Southwark
29,Woolwich,256381,exact,0,Greenwich,NULL,Woolwich
30,Islington,126467,Dup exact,0,Islington,NULL,Islington
31,Walthamstow,242130,exact,0,Waltham Forest,NULL,Walthamstow
32,"Tower Hamlets, London Borough",33472,NULL,0,Tower Hamlets,NULL,Tower Hamlets
33,Lewisham District,137348,NULL,0,Lewisham,NULL,Lewisham
34,Hayes,111162,Dup exact,0,Hillingdon,NULL,Hayes
