Borough,Total Smells,Total Sewer
Barking and Dagenham,57,10
Waltham Forest,72,22
Lewisham,163,64
Bexley,40,4
Sutton,42,9
Brent,121,19
Havering,47,9
Greenwich,243,78
City of London,277,65
Bromley,78,24
Southwark,596,112
Hillingdon,89,32
Harrow,45,2
Croydon,55,23
Hackney,285,104
Kensington and Chelsea,505,194
London County Council,284,45
Tower Hamlets,497,140
Haringey,44,5
Camden,414,149
Redbridge,110,64
Ealing,111,31
Newham,92,29
Merton,83,10
Hammersmith and Fulham,158,30
City of Westminster,988,351
Kingston upon Thames,142,47
Wandsworth,318,88
Richmond upon Thames,113,38
Hounslow,90,24
Port of London,170,8
Islington,276,38
Lambeth,213,65
Enfield,64,14
Barnet,92,46
