location_name,MOH,smell_category,year,centroid_lat,centroid_lon,no_smells
Barking and Dagenham,"Barking (London, England). Urban District Council.",Uncategorised,1898,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Urban District Council.",Uncategorised,1907,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Urban District Council.",Uncategorised,1908,51.54396,0.13317,3
Barking and Dagenham,"Barking (London, England). Borough.",Uncategorised,1931,51.54396,0.13317,1
Barking and Dagenham,"Dagenham (London, England). Urban District Council.",Uncategorised,1936,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",Uncategorised,1937,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",Uncategorised,1938,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",Uncategorised,1951,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",Uncategorised,1957,51.54396,0.13317,2
Barking and Dagenham,"Barking (London, England). Borough.",Uncategorised,1959,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",air_gas,1957,51.54396,0.13317,2
Barking and Dagenham,"Dagenham (London, England). Borough Council.",air_gas,1959,51.54396,0.13317,1
Barking and Dagenham,"Dagenham (London, England). Borough Council.",air_gas,1960,51.54396,0.13317,1
Barking and Dagenham,"Dagenham (London, England). Urban District Council.",decomposition,1932,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",decomposition,1971,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",factory_fuel,1932,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",factory_fuel,1957,51.54396,0.13317,4
Barking and Dagenham,"Dagenham (London, England). Borough Council.",food,1943,51.54396,0.13317,1
Barking and Dagenham,"Dagenham (London, England). Borough Council.",food,1948,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",food,1950,51.54396,0.13317,1
Barking and Dagenham,"Dagenham (London, England). Borough Council.",food,1951,51.54396,0.13317,1
Barking and Dagenham,"Dagenham (London, England). Borough Council.",food,1953,51.54396,0.13317,1
Barking and Dagenham,"Dagenham (London, England). Borough Council.",food,1954,51.54396,0.13317,2
Barking and Dagenham,"Barking (London, England). Borough.",food,1956,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",food,1966,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Borough.",food,1968,51.54396,0.13317,2
Barking and Dagenham,"Barking (London, England). Borough.",school,1947,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Urban District Council.",sewer,1896,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Urban District Council.",sewer,1898,51.54396,0.13317,3
Barking and Dagenham,"Barking (London, England). Urban District Council.",sewer,1905,51.54396,0.13317,1
Barking and Dagenham,"Barking (London, England). Urban District Council.",sewer,1907,51.54396,0.13317,1
Barking and Dagenham,"Dagenham (London, England). Urban District Council.",sewer,1930,51.54396,0.13317,1
